,tsne_x,tsne_y,robo_group,title,paragraphs,sponsor,url
55,19778699.075256884,-534325823.1200957,1,HR2066 Healthy Meals for Children Act 104th Congress 1995 1996,14,"Rep. Goodling, William F. [R-PA-19]",https://www.congress.gov/bill/104th-congress/house-bill/2066/text
56,-470961036.28445387,-330598216.8033009,18,S349 A bill to reauthorize appropriations for the Navajo Hopi Relocation Housing Program 104th Congress 1995 1996,11,"Sen. McCain, John [R-AZ]",https://www.congress.gov/bill/104th-congress/senate-bill/349/text
57,33098981.425585136,264808875.76241925,1,HR1965 Coastal Zone Protection Act of 1996 104th Congress 1995 1996,41,"Rep. Saxton, Jim [R-NJ-3]",https://www.congress.gov/bill/104th-congress/house-bill/1965/text
58,396669184.1698681,244537565.48840824,2,HR3029 To designate the United States courthouse in Washington District of Columbia as the E Barrett Prettyman United States Courthouse 104th Congress 1995 1996,14,"Rep. Davis, Tom [R-VA-11]",https://www.congress.gov/bill/104th-congress/house-bill/3029/text
59,1710675343.4225826,-187530030.51308376,19,HR2803 Anti Car Theft Improvements Act of 1996 104th Congress 1995 1996,24,"Rep. McCollum, Bill [R-FL-8]",https://www.congress.gov/bill/104th-congress/house-bill/2803/text
60,-1032819742.9918768,-1044117812.2373327,19,S1136 Anticounterfeiting Consumer Protection Act of 1996 104th Congress 1995 1996,49,"Sen. Hatch, Orrin G. [R-UT]",https://www.congress.gov/bill/104th-congress/senate-bill/1136/text
61,-697620106.9569858,-248779355.72673506,0,S1903 A bill to designate the bridge estimated to be completed in the year 2000 that replaces the bridge on Missouri highway 74 spanning from East Girardeau Illinois to Cape Girardeau Missouri as the Bill Emerson Memorial Bridge and for other purposes 104th Congress 1995 1996,14,"Sen. Bond, Christopher S. [R-MO]",https://www.congress.gov/bill/104th-congress/senate-bill/1903/text
62,-626168482.4687285,-813967875.2567204,19,HR3525 Church Arson Prevention Act of 1996 104th Congress 1995 1996,35,"Rep. Hyde, Henry J. [R-IL-6]",https://www.congress.gov/bill/104th-congress/house-bill/3525/text
63,6005776119.263098,3633832114.87991,14,S1579 Single Audit Act Amendments of 1996 104th Congress 1995 1996,58,"Sen. Glenn, John H., Jr. [D-OH]",https://www.congress.gov/bill/104th-congress/senate-bill/1579/text
64,3820018854.147753,-1317471209.2937672,7,HR1880 To designate the United States Post Office building located at 102 South McLean Lincoln Illinois as the Edward Madigan Post Office Building 104th Congress 1995 1996,14,"Rep. LaHood, Ray [R-IL-18]",https://www.congress.gov/bill/104th-congress/house-bill/1880/text
65,2554222174.5487113,140034383.7538791,3,HR2437 To provide for the exchange of certain lands in Gilpin County Colorado 104th Congress 1995 1996,34,"Rep. McInnis, Scott [R-CO-3]",https://www.congress.gov/bill/104th-congress/house-bill/2437/text
66,6088036272.334892,40862754745.22435,7,HR2704 To provide that the United States Post Office building that is to be located on the 2600 block of East 75th Street in Chicago Illinois shall be known and designated as the Charles A Hayes Post Office Building 104th Congress 1995 1996,14,"Rep. Collins, Cardiss [D-IL-7]",https://www.congress.gov/bill/104th-congress/house-bill/2704/text
67,652241487.448126,381312688.2590833,18,S441 A bill to reauthorize appropriations for certain programs under the Indian Child Protection and Family Violence Prevention Act and for other purposes 104th Congress 1995 1996,12,"Sen. McCain, John [R-AZ]",https://www.congress.gov/bill/104th-congress/senate-bill/441/text
68,6558687342.354849,12694570076.968966,2,HR3364 To designate a United States courthouse in Scranton Pennsylvania as the William J Nealon United States Courthouse 104th Congress 1995 1996,13,"Rep. McDade, Joseph M. [R-PA-10]",https://www.congress.gov/bill/104th-congress/house-bill/3364/text
69,54400196.05221217,-3815142.94524746,5,HR2070 To provide for the distribution within the United States of the United States Information Agency film entitled Fragile Ring of Life 104th Congress 1995 1996,12,"Rep. Moran, James P. [D-VA-8]",https://www.congress.gov/bill/104th-congress/house-bill/2070/text
70,93575839.92828771,19566616.896551684,19,HR2853 To authorize the extension of nondiscriminatory treatment most favored nation treatment to the products of Bulgaria 104th Congress 1995 1996,15,"Rep. Crane, Philip M. [R-IL-8]",https://www.congress.gov/bill/104th-congress/house-bill/2853/text
71,2520513275.872566,18879297284.327354,13,HR1508 National Childrens Island Act of 1995 104th Congress 1995 1996,34,"Rep. Norton, Eleanor Holmes [D-DC-At Large]",https://www.congress.gov/bill/104th-congress/house-bill/1508/text
72,133188848.31234287,-247546232.34725368,16,HR3121 To amend the Foreign Assistance Act of 1961 and the Arms Export Control Act to make improvements to certain defense and security assistance provisions under those Acts to authorize the transfer of naval vessels to certain foreign countries and for other purposes 104th Congress 1995 1996,192,"Rep. Gilman, Benjamin A. [R-NY-20]",https://www.congress.gov/bill/104th-congress/house-bill/3121/text
73,-924609584.5785261,-494938473.598383,3,HR701 To authorize the Secretary of Agriculture to convey lands to the City of Rolla Missouri 104th Congress 1995 1996,15,"Rep. Emerson, Bill [R-MO-8]",https://www.congress.gov/bill/104th-congress/house-bill/701/text
74,4525504277.603306,-3183436205.677019,1,HR248 To amend the Public Health Service Act to provide for the conduct of expanded studies and the establishment of innovative programs with respect to traumatic brain injury and for other purposes 104th Congress 1995 1996,38,"Rep. Greenwood, James C. [R-PA-8]",https://www.congress.gov/bill/104th-congress/house-bill/248/text
75,924456182.5713084,-799635141.3305199,13,S1899 Mollie Beattie Alaska Wilderness Area Act 104th Congress 1995 1996,10,"Sen. Stevens, Ted [R-AK]",https://www.congress.gov/bill/104th-congress/senate-bill/1899/text
76,50911985027.7235,-5399462766.515304,19,HR2337 Taxpayer Bill of Rights 2 104th Congress 1995 1996,279,"Rep. Johnson, Nancy L. [R-CT-6]",https://www.congress.gov/bill/104th-congress/house-bill/2337/text
77,-587286972.9398645,-174765295.17990303,9,HR497 National Gambling Impact Study Commission Act 104th Congress 1995 1996,50,"Rep. Wolf, Frank R. [R-VA-10]",https://www.congress.gov/bill/104th-congress/house-bill/497/text
78,-835541986.5017612,-229985569.95708403,11,S962 A bill to extend authorities under the Middle East Peace Facilitation Act of 1994 until August 15 1995 104th Congress 1995 1996,12,"Sen. Helms, Jesse [R-NC]",https://www.congress.gov/bill/104th-congress/senate-bill/962/text
79,2925292333.263757,230400142.08400372,1,HR1627 Food Quality Protection Act of 1996 104th Congress 1995 1996,242,"Rep. Bliley, Tom [R-VA-7]",https://www.congress.gov/bill/104th-congress/house-bill/1627/text
80,-170618116.98570463,-170666477.50874287,19,HR3161 To authorize the extension of nondiscriminatory treatment most favored nation treatment to the products of Romania 104th Congress 1995 1996,17,"Rep. Crane, Philip M. [R-IL-8]",https://www.congress.gov/bill/104th-congress/house-bill/3161/text
81,3665104363.0637064,670052584.1106448,16,HR3107 Iran and Libya Sanctions Act of 1996 104th Congress 1995 1996,65,"Rep. Gilman, Benjamin A. [R-NY-20]",https://www.congress.gov/bill/104th-congress/house-bill/3107/text
82,313402417.6322208,-2350428767.6852355,8,HR1051 To provide for the extension of certain hydroelectric projects located in the State of West Virginia 104th Congress 1995 1996,12,"Rep. Mollohan, Alan B. [D-WV-1]",https://www.congress.gov/bill/104th-congress/house-bill/1051/text
83,9946610709.46112,21043994539.87982,19,HR1114 To authorize minors who are under the child labor provisions of the Fair Labor Standards Act of 1938 and who are under 18 years of age to load materials into balers and compacters that meet appropriate American National Standards Institute design safety standards 104th Congress 1995 1996,25,"Rep. Ewing, Thomas W. [R-IL-15]",https://www.congress.gov/bill/104th-congress/house-bill/1114/text
84,10671524884.203526,-1462392284.4505954,19,S531 A bill to authorize a circuit judge who has taken part in an in banc hearing of a case to continue to participate in that case after taking senior status and for other purposes 104th Congress 1995 1996,12,"Sen. Hatch, Orrin G. [R-UT]",https://www.congress.gov/bill/104th-congress/senate-bill/531/text
85,42704668.041814044,-46057192.2156245,18,SJRes20 A joint resolution granting the consent of Congress to the compact to provide for joint natural resource management and enforcement of laws and regulations pertaining to natural resources and boating at the Jennings Randolph Lake Project lying in Garrett County Maryland and Mineral County West Virginia entered into between the States of West Virginia and Maryland 104th Congress 1995 1996,36,"Sen. Sarbanes, Paul S. [D-MD]",https://www.congress.gov/bill/104th-congress/senate-joint-resolution/20/text
86,79565963.5426429,-302840621.5462837,19,HR782 Federal Employee Representation Improvement Act of 1996 104th Congress 1995 1996,17,"Rep. Wolf, Frank R. [R-VA-10]",https://www.congress.gov/bill/104th-congress/house-bill/782/text
87,2929348190.7544856,370976247.6914641,19,HR3215 To amend title 18 United States Code to repeal the provision relating to Federal employees contracting or trading with Indians 104th Congress 1995 1996,12,"Rep. Hayworth, J. D. [R-AZ-6]",https://www.congress.gov/bill/104th-congress/house-bill/3215/text
88,1435067089.2442324,-639156788.5405277,19,HR3235 Office of Government Ethics Authorization Act of 1996 104th Congress 1995 1996,32,"Rep. Canady, Charles T. [R-FL-12]",https://www.congress.gov/bill/104th-congress/house-bill/3235/text
89,2565529606.3098836,-397931365.85659814,1,HR483 An Act to amend the Omnibus Budget Reconciliation Act of 1990 to permit medicare select policies to be offered in all States 104th Congress 1995 1996,15,"Rep. Johnson, Nancy L. [R-CT-6]",https://www.congress.gov/bill/104th-congress/house-bill/483/text
90,8140252809.168664,32151432936.316586,5,HR3603 Agriculture Rural Development Food and Drug Administration and Related Agencies Appropriations Act 1997 104th Congress 1995 1996,352,"Rep. Skeen, Joe [R-NM-2]",https://www.congress.gov/bill/104th-congress/house-bill/3603/text
91,-612481615.5766784,-302653594.0111182,19,HJRes166 Granting the consent of Congress to the Mutual Aid Agreement between the city of Bristol Virginia and the city of Bristol Tennessee 104th Congress 1995 1996,24,"Rep. Boucher, Rick [D-VA-9]",https://www.congress.gov/bill/104th-congress/house-joint-resolution/166/text
92,1013862704.564719,-95438154.46732849,18,S1316 Safe Drinking Water Act Amendments of 1996 104th Congress 1995 1996,409,"Sen. Kempthorne, Dirk [R-ID]",https://www.congress.gov/bill/104th-congress/senate-bill/1316/text
93,783922631.4804294,79731727.90506312,11,S1757 Developmental Disabilities Assistance and Bill of Rights Act Amendments of 1996 104th Congress 1995 1996,19,"Sen. Frist, William H. [R-TN]",https://www.congress.gov/bill/104th-congress/senate-bill/1757/text
94,205682931.759578,-78019161.20348257,18,HR3663 District of Columbia Water and Sewer Authority Act of 1996 104th Congress 1995 1996,35,"Rep. Davis, Tom [R-VA-11]",https://www.congress.gov/bill/104th-congress/house-bill/3663/text
95,3107705666.370138,-1010791850.2738085,19,HR1975 Federal Oil and Gas Royalty Simplification and Fairness Act of 1996 104th Congress 1995 1996,106,"Rep. Calvert, Ken [R-CA-43]",https://www.congress.gov/bill/104th-congress/house-bill/1975/text
96,-85764520.1528311,-261542560.75845715,4,HR2739 House of Representatives Administrative Reform Technical Corrections Act 104th Congress 1995 1996,181,"Rep. Thomas, William M. [R-CA-21]",https://www.congress.gov/bill/104th-congress/house-bill/2739/text
97,-3019651105.510379,-734146867.4814353,7,HR3139 To redesignate the United States Post Office building located at 245 Centereach Mall on Middle Country Road in Centereach New York as the Rose Y Caracappa United States Post Office Building 104th Congress 1995 1996,14,"Rep. Forbes, Michael P. [R-NY-1]",https://www.congress.gov/bill/104th-congress/house-bill/3139/text
98,2587092222.443865,-497257623.028248,19,HR3448 Small Business Job Protection Act of 1996 104th Congress 1995 1996,965,"Rep. Archer, Bill [R-TX-7]",https://www.congress.gov/bill/104th-congress/house-bill/3448/text
99,-1460312345.4794297,-1562864043.5558705,0,HR3834 To redesignate the Dunning Post Office in Chicago Illinois as the Roger P McAuliffe Post Office 104th Congress 1995 1996,14,"Rep. Flanagan, Michael Patrick [R-IL-5]",https://www.congress.gov/bill/104th-congress/house-bill/3834/text
100,497403495.41464216,-426599188.5546081,5,HR1944 Emergency Supplemental Appropriations for Additional Disaster Assistance for Anti terrorism Initiatives for Assistance in the Recovery from the Tragedy that Occurred at Oklahoma City and Rescissions Act 1995 104th Congress 1995 1996,1009,"Rep. Livingston, Bob [R-LA-1]",https://www.congress.gov/bill/104th-congress/house-bill/1944/text
101,400368348.1509998,2466240367.037169,19,HR3870 To authorize the Agency for International Development to offer voluntary separation incentive payments to employees of that agency 104th Congress 1995 1996,23,"Rep. Gilman, Benjamin A. [R-NY-20]",https://www.congress.gov/bill/104th-congress/house-bill/3870/text
102,23848533966.448936,32016179427.436245,19,HR3103 Health Insurance Portability and Accountability Act of 1996 104th Congress 1995 1996,602,"Rep. Archer, Bill [R-TX-7]",https://www.congress.gov/bill/104th-congress/house-bill/3103/text
103,-437904781.6284425,-181164859.04118875,19,HR3680 War Crimes Act of 1996 104th Congress 1995 1996,19,"Rep. Jones, Walter B., Jr. [R-NC-3]",https://www.congress.gov/bill/104th-congress/house-bill/3680/text
104,266886366.54201892,163112310.76237434,1,HR3734 Personal Responsibility and Work Opportunity Reconciliation Act of 1996 104th Congress 1995 1996,1423,"Rep. Kasich, John R. [R-OH-12]",https://www.congress.gov/bill/104th-congress/house-bill/3734/text
105,677937626.8400246,-309978423.5998616,5,HR3845 District of Columbia Appropriations Act 1997 104th Congress 1995 1996,175,"Rep. Walsh, James T. [R-NY-25]",https://www.congress.gov/bill/104th-congress/house-bill/3845/text
106,605672216.8252015,-568393638.277116,1,HR3269 Impact Aid Technical Amendments of 1996 104th Congress 1995 1996,48,"Rep. Cunningham, Randy (Duke) [R-CA-51]",https://www.congress.gov/bill/104th-congress/house-bill/3269/text
107,98802294.02687721,-582725404.5033329,16,HR3517 Military Construction Appropriations Act 1997 104th Congress 1995 1996,82,"Rep. Vucanovich, Barbara F. [R-NV-2]",https://www.congress.gov/bill/104th-congress/house-bill/3517/text
108,250721637.19447315,-431384502.28804123,5,HR3754 Legislative Branch Appropriations Act 1997 104th Congress 1995 1996,281,"Rep. Packard, Ron [R-CA-48]",https://www.congress.gov/bill/104th-congress/house-bill/3754/text
